"jd","star_name","band","validation_flag","magnitude"
2456340.5078,"AK AND","V","Z",15.8
2456360.5233,"AK AND","V","Z",16.23
2456368.5193,"AK AND","V","Z",15.83
2456491.656,"AK AND","TG","Z",10.92
2456499.8446,"AK AND","V","Z",11.11
2456514.592,"AK AND","TG","Z",11.69
2456517.584,"AK AND","TG","Z",12.01
2456522.7625,"AK AND","V","Z",11.93
2456524.565,"AK AND","TG","Z",12.1
2456527.557,"AK AND","TG","Z",12.21
2456528.716,"AK AND","V","Z",12.22
2456532.543,"AK AND","TG","Z",12.58
2456533.539,"AK AND","TG","Z",12.54
2456538.527,"AK AND","TG","Z",12.71
2456539.525,"AK AND","TG","Z",12.77
2456540.522,"AK AND","TG","Z",12.8
2456541.7277,"AK AND","V","Z",12.89
2456543.514,"AK AND","TG","Z",12.88
2456558.473,"AK AND","TG","Z",13.33
2456558.683,"AK AND","V","Z",13.59
2456559.469,"AK AND","TG","Z",13.41
2456567.6562,"AK AND","V","Z",13.85
2456577.6538,"AK AND","V","Z",14.33
2456594.374,"AK AND","TG","Z",14.45
2456595.372,"AK AND","TG","Z",14.5
2456600.6032,"AK AND","V","Z",14.94
2456610.333,"AK AND","TG","Z",14.6
2456612.35,"AK AND","TG","Z",14.84
2456613.341,"AK AND","TG","Z",14.77
2456616.331,"AK AND","TG","Z",14.73
2456621.6158,"AK AND","V","Z",15.38
2456633.272,"AK AND","TG","Z",15.19
2456634.273,"AK AND","TG","Z",15.08
2456635.271,"AK AND","TG","Z",14.3
2456635.367,"AK AND","TG","Z",15.15
2456636.256,"AK AND","TG","Z",15.46
2456637.263,"AK AND","TG","Z",15.42
2456637.356,"AK AND","TG","Z",15.29
2456661.4671,"AK AND","V","Z",16.6
2456711.5099,"AK AND","V","Z",16.13
2456720.5163,"AK AND","V","Z",15.47
2456869.623,"AK AND","TG","Z",12.29
2456888.569,"AK AND","TG","Z",12.88
2456890.565,"AK AND","TG","Z",12.97
2456901.537,"AK AND","TG","Z",13.39
2456903.529,"AK AND","TG","Z",13.49
2456911.507,"AK AND","TG","Z",13.82
2456912.493,"AK AND","TG","Z",13.65
2456919.7266,"AK AND","V","Z",14.27
